,URL,Description,Title
0,https://phoenix.craigslist.org/nph/gms/d/congress-estate-sale-lots-of/7439357399.html,"large estate sale on Friday 2-4-2022 , Saturday 2-5-2022 and Sunday 2-6-2022 from 8am til 3pm each day.

At 23650 Coleman drive congress 856332",Estate Sale Lots of Collectibles Antiques 23650 w coleman dr. Congress (congress)
1,https://phoenix.craigslist.org/nph/gms/d/carefree-rv-cover/7440573562.html,Metal roof RV cover 30ft x 12 x 14 tall you remove $350 or best offer,RV cover (Scottsdale)
2,https://phoenix.craigslist.org/nph/gms/d/phoenix-huge-multi-family-yard-sale/7438681202.html,"HUGE MULTI FAMILY BLOWOUT YARD SALE . . . EVERYTHING MUST GO SALE!! LOTS OF MORE STUFF ADDED.

FOLLOW THE BRIGHT NEON SIGNS

*FURNITURE 
*LOTS OF BAR STOOLS AND KITCHEN CHAIRS
*WINDOW AC UNITS
*JEWLERY BOXES
*LOTS OF JEWLERY OF ALL KINDS (MOST $.50)
*THOUSANDS OF WATCHES (MOST $.50)
*LASERS DISC
*DVDS (G,PG,PG-13,R) ($1.-$2.)
*CDS (.50-$1.50)
*ELECTRONICS
*SPEAKERS
*SHOES- LOTS OF DESIGNER (MOST $1)
*CLOTHING- LOTS OF MENS VOLCOM T-SHIRTS ($2) SHORTS ($3)
*PURSES 
*BACKPACKS
*KITCHEN WARE
*CHINA
*ANTIQUES
*TVS
*COLLECTOR ITEMS
*SKIS
*SKATE/LONG BORDES/SCOOTERS/ROLLER BLADES
*LAMPS
*PAINTINGS
*TRAMPOLINE
*AIR MATRESSES
*WINDOW COVERINGS 
*YOGA MAT
*VASES 
*SHELVES 
*SWORDS  
*DECROTIVE POTS FOR PLANTS 
*GOLF CLUBS/GOLF BAGS
*TOYS
*GAME SYSTEMS/ACCESSORIES/GAMES
*ECT. AND ALOT MORE . . . 


EVERYTHING PRICED REAL CHEAP. A Little Bit Of Something Everyone Could Want! AND  THE MORE YOU BUY THE CHEAPER THE OVER ALL PRICE.",HUGE MULTI FAMILY YARD SALE (Phoenix)
3,https://phoenix.craigslist.org/nph/gms/d/phoenix-large-yard-sale-4-thru-6-tools/7440909512.html,"Huge Yard sale friday 2/4 TO 2/6   7:30 till 5 fri & sat,  Sunday by appt only .  43039 n 18th st new river.   From carefree hwy to 7th st north to east circle mtn rd , go east on  circle mtn rd to 16th st, south to cavalry east to 18th st, south to signs. torpedo heater, Hurst 4-speed shifter, 2-1/2 sheets 1/2"" 4x8 osb, beige metal bookcase, New still in unopened box microwave range hood, 30"" x 5ft folding table, Bruning drafting arm, raintight electrical boxes, covers and connectors & liquid tight flex conduit, epvc conduit & fittings, vintage dish set, glasses, A&W mugs & baby mugs,  mechanic and ALL TRADES Tools, motorcycle & outboard motor repair manuals, 55-70's arizona highways magazines,  vintage electronic test equipment, tv & radio vacuum tubes, 40's - 50's vintage table radios, electrical nm new work and old work boxes, 2x4ft e-glass skylight, shop vac,  lighting lenses,  records and cd's, switches, outlets & wallplates, new electrical recessed light cans & trims, electrical pvc conduit & fittings, scaffloding cross braces & legs,new acrylic  early 1908 patent Antique toilet and oak wall tank, abs pipe, Framing lumber & hardware (nails and staples), abs pipe, osb board,  new and used lumber, self leveling cement, self-leveling cement, stucco mix, portland & riverside cement, grout and thinset,   STEEL CONCRETE STAKES, chains and binders,  pier group king size bed complete with bedding, household items,  school yearbooks, and a lot of misc. Am retired from construction and cleaning out everything so can put the house up for sale too. 
      Can also see anytime  by contacting to see if i will be home. call or text  show contact info
","Large yard sale 2/4 thru 2/6. Tools, vtg electronics  more (NEW RIVER)"
4,https://phoenix.craigslist.org/evl/gms/d/mesa-moving-sale/7441173222.html,"Everything must go! Make an offer, misc,tools and furniture. 4th 5th &6th. Cross streets Sossamon & US 60",moving sale (Mesa)
5,https://phoenix.craigslist.org/nph/gms/d/phoenix-multi-family-yard-sale-estate/7433280744.html,"**Indoor/Outdoor Multi Family Downsizing Sale + Garage Sale + Estate Sale + Yard Sale + Moving Sale + Whatever Sale**

●Check back for additional photos - updated often. Pre-sale inquiries welcome.

●Days/Dates/Times: 
2/4 Fri 10-2pm
2/5 Sat 9-2pm
2/6 Sun 9-2pm

●Location: Central Phoenix.
**Estate Sale sign and ORANGE PARKING CONES in front yard.**

●Payment: Cash only. No holds without deposit. No returns, no refunds - so please inspect carefully. 

●New, used and vintage items added daily. 

●Note: Some large items may be located at an address nearby - see photos on-site. 

●No coins, stamps, records/vinyl or toys. 

●Security cameras are present so smile!

●Property is not for sale. No Realtors please.

● For sale: Bernhardt Rattan chair and ottoman (photo), new in box lighting (approx 25 pieces approx 50% off retail), new cabinets-to-go white door fronts, new patio cushions, misc household items, curtains, new bath vanity for a tiny space (photo), tile for a small project, chairs, new rug pads - 5x8' and 8x10', hedge trimmer ($10), vintage ornate mirror (photo), large salt/pepper cowhide rug (photo), full mattress, Allied vintage folding laundry basket, books, cds and so much more.",**Multi Family Yard Sale + Estate Sale + Garage Sale + Moving Sale** (Central Phoenix)
6,https://phoenix.craigslist.org/evl/gms/d/mesa-yard-sale/7441346054.html,Clothes and all kinds of stuff,Yard sale (860 e Marilyn ave)
7,https://phoenix.craigslist.org/evl/gms/d/mesa-moving-sale/7430276600.html,"Lots to sell even while I pack to get ready for “estate” sale. Desks, couches, clothing,queen bed that was rarely used in guest room which includes matching mattress & boxspring, dust ruffle, frame & extra foam padding in washable liner, household, security doors, steamer trunk, vintage plumbing tools, grow equipment, tables, toys, Knick knacks, cedar chest and more. See pics and call for more info or to set up time to see items. Located in east Mesa by Skyline high school on Crismon.  show contact info
. Will continue to empty closets, drawers, cabinets & storage sheds through mid February.",Moving sale (East Mesa)
8,https://phoenix.craigslist.org/wvl/gms/d/glendale-yard-sale-59th-ave-greenway/7441110970.html,"Antiques, collectables, electronics, household, small appliances, fishing poles and tackle, tools, luggage, linens and plenty of other stuff, too!

We're easy to find,
just follow the YELLOW BALLOONS!

We accept cash, credit and debit cards.
   ",*YARD SALE* 59th Ave/Greenway (Glendale)
9,https://phoenix.craigslist.org/wvl/gms/d/cashion-whole-estate-sale/7441529060.html,"WHOLE ESTATE SALE MUST SELL EVERYTHING TOOLS CONVECTION STAINLESS STOVE, SOFA, LOVESEAT, DINING TABLE ELECTRIC QUANTUM 6 WHEEL CHAIR, BARBELL, BOOK SHELVES, DESK, CLOTHES SHOES DRESSERS TV'S BEDS MINI FRIDGE AND MUCH MUCH MORE.",WHOLE ESTATE SALE (AVONDALE)
10,https://phoenix.craigslist.org/nph/gms/d/phoenix-garage-sale/7441555971.html,"Today Friday the 4th, 5th and 6th we’ll be having a garage sale at  11617 n 25th ave 85029 

We’ll have a tone of ￼valentine’s Day jewelry￼, clothes, shoes, appliances and many more 

Please come down and check it out ￼
   ",Garage sale (Phoenix)
11,https://phoenix.craigslist.org/wvl/gms/d/peoria-moving-sale/7441566165.html,Moving all must go furniture Antiques books glassware,Moving sale (Peoria)
12,https://phoenix.craigslist.org/evl/gms/d/chandler-garage-sale/7439129436.html,"I’m cleaning the garage and I have a few items
For Sale  let’s me know if you are interested   I do have more stuff I will keep filling it with pic today and tomorrow 

Check the pics and make me a deal   Text me  or call me",Garage sale (Chandler)
13,https://phoenix.craigslist.org/nph/gms/d/phoenix-small-sale-just-setting-up/7441604486.html,"misc stuff

tredmill
dresser two night stands
lamps
framed art
not frames art
decor
misc small tools
crystal/glass dishes
purses
belts
ties
scarfs
clothes (some nicer close)
shoes
kids toys
ect..

plus a give away of a $20.00 Bookman's bucks for the first person after 10 am to tell us the color of the shirt from the ad on our home page at  
az1099.com 
",small sale just setting up (35th and butler)
14,https://phoenix.craigslist.org/evl/gms/d/eloy-eloy-yard-sale/7441724770.html,"Yard sale at

326 w marten luther king jr st eloy i5131

Friday Saturday and Sunday 
9 am 

We got lots of jewelry and we be putting out a lot more as well we got tons of purses and bags we got knick-knacks we got movies we got wires we got treadmill we got tools we got eccetera excetera excetera
   ",Eloy yard sale (Eloy)
15,https://phoenix.craigslist.org/wvl/gms/d/surprise-moving-sale/7441856296.html,"Moving Sale fishing, baby clothes, kids clothes, women’s clothes, camper covers, swamp coolers, pool fencing with two gates 
Stroller baby chair, portable baby bouncer
   ",moving sale !!! (Surprise)
16,https://phoenix.craigslist.org/cph/gms/d/phoenix-yard-sale-central-phoenix/7441948584.html,"Yard sale with lots of clothing, kids toys, bedspreads pet cages, fresh farm eggs, tables, knickknacks and miscellaneous",Yard sale Central Phoenix (24th St. and McDowell)
17,https://phoenix.craigslist.org/cph/gms/d/phoenix-garage-sale-feb-5th-and-6th/7439279444.html,Garage Sale next weekend: Sat Feb 5th and Sun Feb 6th. Lots of stuff to sell!,Garage Sale Feb 5th and 6th (Loma Linda)
18,https://phoenix.craigslist.org/wvl/gms/d/goodyear-yard-sale-everything-is-half/7439570206.html,"I have a bunch of stuff that is brand new and stuff that is like new. I’ll post a few pictures of the stuff looking at having the yard sale February Saturday the 5th  and Sunday the 6th.  If you see anything you want now make an offer before the actual yard sale and we may be able to do a deal. 

Chain saw
Brand new movies
Blue ray player 
Cds 
Lunch cooler 
Corn hole game
Dart board with cabinet 
Tall fake Christmas tree
HDMI and other cables
Computer parts
And much more!",Yard sale everything is half off! (Goodyear)
