,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,My Universe,spotify:track:3FeVmId7tL5YN8B7R3imoM,228000,False,My Universe,92
1,YOASOBI,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,たぶん,spotify:track:398dL22bDbKbAmiOnPaq7o,256773,False,THE BOOK,69
2,YOASOBI,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,群青,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,248026,False,THE BOOK,77
3,YOASOBI,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,夜に駆ける,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,258838,False,THE BOOK,78
4,YOASOBI,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,アンコール,spotify:track:465JzFiajJO59sUrDFsxdC,271440,False,THE BOOK,71
5,YOASOBI,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,ラブレター,spotify:track:185Wm4Mx09dQG0fUktklDm,212400,False,ラブレター,69
6,John Mayer,spotify:artist:0hEurMDQu99nJRq8pTxO14,Last Train Home,spotify:track:0tgBtQ0ISnMQOKorrN9HLX,187306,False,Sob Rock,73
7,YOASOBI,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,ハルジオン,spotify:track:08YwAPnX8sygJUXG9rvhDv,198600,False,THE BOOK,68
8,John Mayer,spotify:artist:0hEurMDQu99nJRq8pTxO14,Last Train Home - Ballad Version,spotify:track:60CQpHremwdzRXIzoaufDF,357705,False,Last Train Home (Ballad Version),58
9,YOASOBI,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,ハルカ,spotify:track:5D9MPWdY2hjSeTIGE5n5kv,243613,False,THE BOOK,66
10,YOASOBI,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,怪物,spotify:track:06XQvnJb53SUYmlWIhUXUi,206000,False,怪物,77
11,Ben Rector,spotify:artist:4AapPt7H6bGH4i7chTulpI,It Would Be You,spotify:track:0roPf0bwAsBDZv1bR15m15,219066,False,It Would Be You,61
12,Holiday,spotify:artist:7rYst6QDh6bg0exQVkORjV,A Little Fight,spotify:track:0uRheeRlxk5dN5xnOUei0X,234010,False,A Little Fight,0
13,YOASOBI,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,もう少しだけ,spotify:track:2pXmohBUnD5Li93sgpbPSg,220200,False,もう少しだけ,70
14,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Always in My Head,spotify:track:0FMjqbY3aWo1QDbo3GwXib,216626,False,Ghost Stories,66
